frame,tstart,duration,y_n,epoch
1,1385.39,0.74,1,47
1,1389.73,1.01,1,47
1,1393.665,0.824999999999999,1,47
2,1425.85,1.175,1,48
2,1438.015,0.919999999999995,1,48
3,1441.455,0.890000000000001,1,49
4,1496.57,0.609999999999999,1,50
5,1503.365,1.28,1,51
5,1522.54,0.990000000000009,1,51
5,1527.685,0.965000000000003,1,51
6,1550.125,0.700000000000017,1,52
7,1567.695,0.600000000000023,1,53
7,1569.235,0.719999999999999,1,53
13,1741.83,0.810000000000002,1,59
13,1751.03,1.34999999999999,1,59
13,1756.525,0.860000000000014,1,59
13,1758.84,0.70999999999998,1,59
13,1761.435,0.639999999999986,1,59
13,1765.5,0.829999999999984,1,59
15,1800.195,0.850000000000023,1,61
15,1806.27,1.55500000000001,1,61
15,1812.75,0.730000000000018,1,61
15,1816.765,1.63499999999999,1,61
15,1818.925,1.08999999999997,1,61
15,1821.22,1.04499999999996,1,61
15,1823.275,0.800000000000011,1,61
17,1860.56,0.79000000000002,1,63
17,1863.97,1.00999999999999,1,63
17,1867.24,1.44,1,63
17,1870.95,1.27000000000004,1,63
17,1872.925,1.01999999999998,1,63
17,1875.78,1.09499999999997,1,63
22,2014.72,1.78999999999996,1,68
22,2018.19,0.884999999999991,1,68
22,2019.24,1.14999999999998,1,68
23,2072.165,0.764999999999986,1,70
24,2105.965,1.22499999999997,1,71
24,2109.645,1.06,1,71
24,2118.335,1.08000000000004,1,71
25,2144.925,0.865000000000009,1,72
25,2150.06,1.47500000000002,1,72
25,2155.94,0.595000000000027,1,72
25,2158.045,1.94999999999999,1,72
26,2161.795,2.51499999999999,1,73
26,2183.72,0.549999999999955,1,73
27,2207.77,0.930000000000007,1,74
27,2212.33,1.505,1,74
27,2214.97,0.609999999999957,1,74
27,2218.355,0.879999999999995,1,74
28,2224.35,1.27499999999998,1,75
28,2230.205,0.699999999999932,1,75
28,2243.635,1.14999999999998,1,75
29,2251.45,1.9799999999999,1,76
29,2257.25,0.850000000000023,1,76
29,2259.135,0.919999999999959,1,76
29,2260.805,0.780000000000086,1,76
29,2263.935,1.24499999999989,1,76
29,2269.475,0.720000000000027,1,76
29,2271.52,0.980000000000018,1,76
29,2273.58,1.21999999999991,1,76
31,2312.04,1.03000000000009,1,78
31,2315.925,1.02500000000009,1,78
31,2321.185,1.03999999999996,1,78
31,2326.46,0.990000000000009,1,78
32,2344.435,0.719999999999914,1,79
32,2348.155,0.960000000000036,1,79
32,2352.075,0.799999999999955,1,79
32,2363.065,1.37,1,79
33,2403.625,1.06000000000006,1,81
33,2406.275,0.879999999999995,1,81
33,2412.965,0.939999999999941,1,81
33,2414.755,0.560000000000059,1,81
33,2418.375,1.32000000000005,1,81
33,2422.63,0.889999999999986,1,81
34,2439.33,1.11500000000001,1,82
34,2442.315,1.55499999999995,1,82
34,2453.19,0.969999999999914,1,82
34,2454.95,1.09999999999991,1,82
34,2459.22,0.694999999999936,1,82
35,2460.57,0.769999999999982,1,83
35,2464.035,0.879999999999995,1,83
35,2465.36,0.794999999999959,1,83
35,2468.835,0.949999999999932,1,83
36,2497.49,1.00999999999999,1,84
36,2500.805,0.780000000000086,1,84
36,2502.2,0.549999999999955,1,84
36,2505.635,0.919999999999959,1,84
36,2507.475,1.27499999999998,1,84
36,2516.485,1.52499999999998,1,84
38,2556.92,0.870000000000005,1,86
38,2559.85,0.774999999999977,1,86
38,2564.92,0.865000000000009,1,86
38,2568.175,1.34500000000003,1,86
38,2573.535,2.255,1,86
39,2597.57,1.15999999999997,1,87
39,2608.99,1.005,1,87
40,2613.995,1.55499999999995,1,88
40,2616.575,0.924999999999955,1,88
40,2617.855,0.894999999999982,1,88
40,2623.005,0.830000000000041,1,88
40,2625.875,0.879999999999995,1,88
41,2658.45,0.849999999999909,1,89
41,2665.21,1.58499999999992,1,89
42,2671.11,1.89499999999998,1,90
42,2675.645,1.13499999999999,1,90
42,2691.24,0.980000000000018,1,90
