frame,tstart,duration,y_n,epoch
8,1616.719563,1.188158421,1,54
9,1621.748233,1.784237898,1,55
9,1626.688892,1.14015202,1,55
10,1672.539005,1.020136018,1,56
10,1677.159621,1.224163222,1,56
12,1710.128017,1.908254434,1,58
12,1714.600613,0.732097613,1,58
12,1720.325377,0.676090145,1,58
14,1771.188158,1.216162155,1,60
14,1792.967062,1.336178157,1,60
16,1854.367249,0.828110415,1,62
16,1856.507534,1.308174423,1,62
18,1901.845579,0.748099747,1,64
18,1908.038405,0.668089079,1,64
18,1914.435258,1.12815042,1,64
18,1917.619683,0.748099747,1,64
19,1922.980397,1.092145619,1,65
19,1925.964795,1.244165889,1,65
19,1943.131084,0.748099747,1,65
20,1951.148153,1.040138685,1,66
20,1953.852514,1.336178157,1,66
20,1960.157354,1.248166422,1,66
20,1968.806508,1.048139752,1,66
21,2004.739299,2.040272036,1,67
30,2289.761302,0.804107214,1,77
30,2292.617682,1.520202694,1,77
30,2302.827044,0.944125883,1,77
30,2307.231631,0.76410188,1,77
37,2521.152154,1.528203761,1,85
48,2853.320443,1.032137618,1,96
48,2857.340979,1.520202694,1,96
48,2866.582211,0.688091746,1,96
48,2871.742899,1.472196293,1,96
48,2876.739565,1.29217229,1,96
51,3126.400853,0.824109881,1,105
59,5881.376183,1.596212828,1,197
59,5887.525003,0.77610348,1,197
59,5888.313108,0.780104014,1,197
59,5892.881718,1.100146686,1,197
59,5896.826243,1.388185091,1,197
59,5900.138685,1.232164289,1,197
61,5941.416189,1.188158421,1,199
61,5946.860915,1.232164289,1,199
61,5950.397386,1.000133351,1,199
61,5963.471129,1.372182958,1,199
61,5965.895453,0.856114149,1,199
62,5989.342579,1.544205894,1,200
62,5998.95186,0.972129617,1,200
65,6062.356314,1.252166956,1,203
65,6078.246433,0.94012535,1,203
65,6084.771303,0.944125883,1,203
65,6088.867849,0.876116816,1,203
66,6092.348313,1.032137618,1,204
66,6096.616882,1.276170156,1,204
66,6104.897986,1.508201093,1,204
66,6115.107348,1.076143486,1,204
66,6119.235898,0.652086945,1,204
67,6137.538338,1.288171756,1,205
67,6141.914922,0.95212695,1,205
67,6147.783704,0.704093879,1,205
78,6450.368049,0.508067742,1,216
78,6451.008134,1.836244833,1,216
78,6460.661422,1.168155754,1,216
78,6469.018536,1.640218696,1,216
78,6477.335645,1.688225097,1,216
107,7840.985465,1.176156821,1,262
107,7856.807574,1.428190425,1,262
134,8707.541005,1.200160021,1,291
134,8713.089745,1.012134951,1,291
134,8718.506468,1.004133885,1,291
140,8973.056408,0.896119483,1,300
140,8977.569009,0.988131751,1,300
150,9424.64862,2.076276837,1,315
150,9434.089879,1.252166956,1,315
159,9801.14682,1.420189359,1,327
159,9804.511268,0.844112548,1,327
160,9820.205361,1.112148286,1,328
160,9825.214029,0.58807841,1,328
160,9829.146553,0.76410188,1,328
160,9838.35178,1.144152554,1,328
162,9901.772236,1.31617549,1,331
162,9910.077344,1.312174957,1,331
162,9929.179891,0.788105081,1,331
174,10631.45353,1.14015202,1,355
174,10634.74597,0.872116282,1,355
174,10639.84265,1.272169623,1,355
174,10648.21976,1.29217229,1,355
175,10652.84838,0.876116816,1,356
175,10654.73663,1.568209095,1,356
175,10657.88505,1.372182958,1,356
175,10670.13869,1.400186692,1,356
175,10673.83518,1.14015202,1,356
200,12345.22603,1.14015202,1,412
200,12357.39565,0.680090679,1,412
201,12360.64009,1.664221896,1,413
201,12364.69663,1.336178157,1,413
201,12371.00147,1.432190959,1,413
201,12386.66356,2.264301907,1,413
204,12478.07974,1.524203227,1,416
205,12484.81664,1.236164822,1,417
213,13042.00693,1.348179757,1,435
217,13233.86051,1.748233098,1,442
217,13239.40125,1.536204827,1,442
217,13247.84238,1.032137618,1,442
226,13687.28097,1.416188825,1,457
227,13770.05201,1.156154154,1,460
227,13783.11775,1.268169089,1,460
229,13831.94026,1.312174957,1,462
229,13837.64102,1.332177624,1,462
234,14221.04814,0.768102414,1,475
234,14227.41699,2.216295506,1,475
